,name,kind,categori1,categori2,url,image_href,fit,season,두께
75,(올시즌)2WAY 어센틱 후드 윈드브레이커 자켓_차콜그레이,상의,아우터,아노락 재킷,https://www.musinsa.com/app/goods/3037477?loc=goods_rank,//image.msscdn.net/images/goods_img/20230125/3037477/3037477_16766162874537_500.jpg,레귤러,"봄,가을,겨울",보통
76,스카시 하프 카디건_IVORY,상의,아우터,카디건,https://www.musinsa.com/app/goods/3295030?loc=goods_rank,//image.msscdn.net/images/goods_img/20230512/3295030/3295030_16849780535476_500.jpg,레귤러,여름,약간 얇음
77,코튼 미니멀 라운드 가디건 IVORY,상의,아우터,카디건,https://www.musinsa.com/app/goods/3039292?loc=goods_rank,//image.msscdn.net/images/goods_img/20230126/3039292/3039292_16763375547807_500.jpg,루즈,"봄,가을",보통
78,스탠드 카라 오버핏 아노락(카키),상의,스포츠/용품,아우터,https://www.musinsa.com/app/goods/3265910?loc=goods_rank,//image.msscdn.net/images/goods_img/20230427/3265910/3265910_16825771855622_500.jpg,레귤러,여름,얇음
79,[쿨탠다드] 릴렉스드 베이식 블레이저 [더스티 베이지],상의,아우터,슈트/블레이저 재킷,https://www.musinsa.com/app/goods/3078927?loc=goods_rank,//image.msscdn.net/images/goods_img/20230213/3078927/3078927_16825619199133_500.jpg,루즈,"봄,여름",얇음
80,디비전 나일론 후드 집업 베스트 (BLACK),상의,아우터,베스트,https://www.musinsa.com/app/goods/3296752?loc=goods_rank,//image.msscdn.net/images/goods_img/20230515/3296752/3296752_16841351027799_500.jpg,루즈,"봄,여름",보통
81,와플 펀칭 니트 베스트 (LIGHT BEIGE),상의,아우터,베스트,https://www.musinsa.com/app/goods/3244962?loc=goods_rank,//image.msscdn.net/images/goods_img/20230419/3244962/3244962_16820435278833_500.jpg,루즈,"봄,여름,가을",보통
82,스카시 하프 카디건_BLACK,상의,아우터,카디건,https://www.musinsa.com/app/goods/3295029?loc=goods_rank,//image.msscdn.net/images/goods_img/20230512/3295029/3295029_16849780879254_500.jpg,레귤러,여름,약간 얇음
83,B.H KNIT ZIPUP (BLACK),상의,아우터,카디건,https://www.musinsa.com/app/goods/3155391?loc=goods_rank,//image.msscdn.net/images/goods_img/20230316/3155391/3155391_16790398452491_500.jpg,루즈,"봄,여름,가을",보통
84,깡스타일리스트 X 플랙 자켓 K45 미드 블루,상의,아우터,트러커 재킷,https://www.musinsa.com/app/goods/3098417?loc=goods_rank,//image.msscdn.net/images/goods_img/20230221/3098417/3098417_16777224292099_500.jpg,레귤러,"봄,가을",보통
85,스탠드 카라 오버핏 아노락(블랙),상의,스포츠/용품,아우터,https://www.musinsa.com/app/goods/3265908?loc=goods_rank,//image.msscdn.net/images/goods_img/20230427/3265908/3265908_16825773681404_500.jpg,오버 사이즈,여름,얇음
86,쿨 터치 에센셜 가디건 [블랙],상의,아우터,카디건,https://www.musinsa.com/app/goods/3171886?loc=goods_rank,//image.msscdn.net/images/goods_img/20230323/3171886/3171886_16802256827576_500.jpg,레귤러,"봄,여름,가을",약간 얇음
87,(여름용) 오버핏 시어서커 수트 셋업 _올리브,상의,아우터,슈트/블레이저 재킷,https://www.musinsa.com/app/goods/3170615?loc=goods_rank,//image.msscdn.net/images/goods_img/20230322/3170615/3170615_16817807439789_500.jpg,"루즈,오버 사이즈","봄,여름,가을",얇음
88,쓰리스타 파이핑 트랙수트 자켓_블랙(NG2DSUB962A),상의,아우터,나일론/코치 재킷,https://www.musinsa.com/app/goods/3050959?loc=goods_rank,//image.msscdn.net/images/goods_img/20230131/3050959/3050959_16753313611904_500.jpg,오버 사이즈,봄,보통
89,Summer Daily Half Jacket (Black),상의,아우터,슈트/블레이저 재킷,https://www.musinsa.com/app/goods/3267445?loc=goods_rank,//image.msscdn.net/images/goods_img/20230427/3267445/3267445_16831154600211_500.jpg,루즈,"봄,여름",얇음
90,커브드 오버핏 후드집업_그레이,상의,아우터,후드 집업,https://www.musinsa.com/app/goods/3046690?loc=goods_rank,//image.msscdn.net/images/goods_img/20230130/3046690/3046690_16759242185174_500.jpg,"루즈,오버 사이즈","봄,가을,겨울",보통
91,[2PACK] 펀칭 니트 베스트 1+1,상의,아우터,베스트,https://www.musinsa.com/app/goods/3266534?loc=goods_rank,//image.msscdn.net/images/goods_img/20230427/3266534/3266534_16829021833090_500.jpg,루즈,"봄,여름,가을,겨울",보통
92,블랙 스크래치 후드 자켓 awa535m(BLACK),상의,아우터,기타 아우터,https://www.musinsa.com/app/goods/3257960?loc=goods_rank,//image.msscdn.net/images/goods_img/20230425/3257960/3257960_16823856783559_500.jpg,레귤러,여름,얇음
93,볼레로 윈드쉘(그레이),상의,아우터,나일론/코치 재킷,https://www.musinsa.com/app/goods/3234965?loc=goods_rank,//image.msscdn.net/images/goods_img/20230414/3234965/3234965_16817120259137_500.jpg,오버 사이즈,"봄,가을,겨울",보통
94,[SET]에어스트레치 아노락 자켓 쇼츠 셋업_라벤더 바람막이,상의,스포츠/용품,아우터,https://www.musinsa.com/app/goods/3175885?loc=goods_rank,//image.msscdn.net/images/goods_img/20230323/3175885/3175885_16795634423945_500.jpg,루즈,"봄,여름,가을",얇음
95,펀칭 오픈 칼라 카디건_블랙,상의,아우터,카디건,https://www.musinsa.com/app/goods/3253688?loc=goods_rank,//image.msscdn.net/images/goods_img/20230421/3253688/3253688_16830034400077_500.jpg,루즈,여름,약간 얇음
96,[세트] 퍼프 트위드 자켓 & 스커트 - 블루,상의,아우터,기타 아우터,https://www.musinsa.com/app/goods/3172052?loc=goods_rank,//image.msscdn.net/images/goods_img/20230323/3172052/3172052_16795336230822_500.jpg,레귤러,"봄,여름",보통
97,쉐브론 바람막이 자켓 (QO123TJK21),상의,아우터,아노락 재킷,https://www.musinsa.com/app/goods/3047400?loc=goods_rank,//image.msscdn.net/images/goods_img/20230130/3047400/3047400_16806638176511_500.jpg,루즈,"봄,가을",보통
