,name,categori1,categori2,url,image*href,fit,season,두께
82,오버사이즈 레이어드 블레이저 [미디엄 그레이],아우터,슈트/블레이저 재킷,https://www.musinsa.com/app/goods/3092773?loc=goods_rank,//image.msscdn.net/images/goods_img/20230220/3092773/3092773_16795535173565_500.jpg,루즈,"봄,가을",보통
83,(2023.ver) 사이드픽스 슈팅 수트 셋업_그레이,아우터,슈트/블레이저 재킷,https://www.musinsa.com/app/goods/3059721?loc=goods_rank,//image.msscdn.net/images/goods_img/20230203/3059721/3059721_16766161674228_500.jpg,"레귤러,루즈","봄,여름,가을,겨울",보통
84,[여름용] 2WAY 나일론 메탈 후드 베스트_블랙,아우터,베스트,https://www.musinsa.com/app/goods/3037468?loc=goods_rank,//image.msscdn.net/images/goods_img/20230125/3037468/3037468_16766148558161_500.jpg,레귤러,"봄,여름,가을,겨울",약간 얇음
85,모노톤 풀 집업 니트_네이비,아우터,카디건,https://www.musinsa.com/app/goods/3039655?loc=goods_rank,//image.msscdn.net/images/goods_img/20230126/3039655/3039655_16748011180032_500.jpg,루즈,"봄,가을",약간 두꺼움
86,[쿨탠다드] 릴렉스드 베이식 블레이저 [더스티 베이지],아우터,슈트/블레이저 재킷,https://www.musinsa.com/app/goods/3078927?loc=goods_rank,//image.msscdn.net/images/goods_img/20230213/3078927/3078927_16825619199133_500.jpg,루즈,"봄,여름",얇음
87,[여름용] 2WAY 나일론 메탈 후드 윈드브레이커 자켓_더스티 핑크,아우터,아노락 재킷,https://www.musinsa.com/app/goods/3037473?loc=goods_rank,//image.msscdn.net/images/goods_img/20230125/3037473/3037473_16766153823167_500.jpg,레귤러,"봄,가을,겨울",보통
88,투버튼 카라 니트 자켓 [BROWN],아우터,카디건,https://www.musinsa.com/app/goods/3001129?loc=goods_rank,//image.msscdn.net/images/goods_img/20221229/3001129/3001129_16722903512596_500.jpg,레귤러,"봄,가을,겨울",보통
89,쓰리 스타 로고 워시드 데님 집 자켓_블랙(NG2DSUD121A),아우터,트러커 재킷,https://www.musinsa.com/app/goods/3055484?loc=goods_rank,//image.msscdn.net/images/goods_img/20230202/3055484/3055484_16760156527323_500.jpg,오버 사이즈,봄,보통
90,TRANSLUCENT HOODED JACKET - SAND YELLOW,아우터,나일론/코치 재킷,https://www.musinsa.com/app/goods/3047188?loc=goods_rank,//image.msscdn.net/images/goods_img/20230130/3047188/3047188_16758144403095_500.jpg,루즈,"봄,여름,가을,겨울",얇음
91,V 넥 파이핑 아노락  그레이,아우터,나일론/코치 재킷,https://www.musinsa.com/app/goods/3115422?loc=goods_rank,//image.msscdn.net/images/goods_img/20230301/3115422/3115422_16776605872841_500.jpg,루즈,"봄,여름,가을,겨울",약간 얇음
92,OVERFIT QUILTED JACKET BEIGE,아우터,기타 아우터,https://www.musinsa.com/app/goods/3012808?loc=goods_rank,//image.msscdn.net/images/goods_img/20230110/3012808/3012808_16733251579106_500.jpg,오버 사이즈,"봄,가을,겨울",약간 두꺼움
93,2WAY 크롭 스웻 후드 집업 (OATMEAL),아우터,후드 집업,https://www.musinsa.com/app/goods/3023585?loc=goods_rank,//image.msscdn.net/images/goods_img/20230113/3023585/3023585_16750527560862_500.jpg,레귤러,"봄,가을,겨울",보통
94,DAISY KNIT-SHIRTS - Blue,아우터,카디건,https://www.musinsa.com/app/goods/3274487?loc=goods_rank,//image.msscdn.net/images/goods_img/20230503/3274487/3274487_16830946154844_500.jpg,레귤러,"봄,여름",보통
95,펀칭 오픈 칼라 카디건_블랙,아우터,카디건,https://www.musinsa.com/app/goods/3253688?loc=goods_rank,//image.msscdn.net/images/goods_img/20230421/3253688/3253688_16830034400077_500.jpg,루즈,여름,약간 얇음
96,HONES+ 로고 벌룬핏 투웨이 후드 집업 B23ST02LG,아우터,후드 집업,https://www.musinsa.com/app/goods/3008332?loc=goods_rank,//image.msscdn.net/images/goods_img/20230105/3008332/3008332_16805055427385_500.jpg,"레귤러,루즈","봄,가을,겨울",보통
97,클리어 메쉬 윈드브레이커 - 그레이,아우터,나일론/코치 재킷,https://www.musinsa.com/app/goods/3257264?loc=goods_rank,//image.msscdn.net/images/goods_img/20230424/3257264/3257264_16831791099725_500.jpg,루즈,"봄,여름,가을",약간 얇음
98,립스탑 메쉬 윈드브레이커 - 라이트 핑크,아우터,나일론/코치 재킷,https://www.musinsa.com/app/goods/3257267?loc=goods_rank,//image.msscdn.net/images/goods_img/20230424/3257267/3257267_16831792721119_500.jpg,루즈,"봄,여름,가을",약간 얇음
99,[쿨탠다드] 우먼즈 크롭 반팔 블레이저 [블랙],아우터,슈트/블레이저 재킷,https://www.musinsa.com/app/goods/3078392?loc=goods_rank,//image.msscdn.net/images/goods_img/20230213/3078392/3078392_16813624966459_500.jpg,루즈,여름,얇음
100,S.L HALF ZIP-UP JACKET - BLACK,아우터,아노락 재킷,https://www.musinsa.com/app/goods/3047183?loc=goods_rank,//image.msscdn.net/images/goods_img/20230130/3047183/3047183_16758145828169_500.jpg,루즈,"봄,가을,겨울",보통
101,22FW 니트 베스트_4 COLOR,아우터,베스트,https://www.musinsa.com/app/goods/3104557?loc=goods_rank,//image.msscdn.net/images/goods_img/20230223/3104557/3104557_16780735264786_500.jpg,루즈,"봄,여름,가을,겨울",보통
102,[니티드X레디] 썸머 스트라이프 반팔 니트 셔츠 BLACK,아우터,카디건,https://www.musinsa.com/app/goods/3259565?loc=goods_rank,//image.msscdn.net/images/goods_img/20230425/3259565/3259565_16837864481173_500.jpg,오버 사이즈,"봄,여름",얇음
103,Voyage hooded zip vest - Black,아우터,베스트,https://www.musinsa.com/app/goods/3165406?loc=goods_rank,//image.msscdn.net/images/goods_img/20230321/3165406/3165406_16835213158457_500.jpg,레귤러,"봄,여름,가을",약간 얇음
104,쓰리스타 파이핑 트랙수트 자켓_블랙(NG2DSUB962A),아우터,나일론/코치 재킷,https://www.musinsa.com/app/goods/3050959?loc=goods_rank,//image.msscdn.net/images/goods_img/20230131/3050959/3050959_16753313611904_500.jpg,오버 사이즈,봄,보통
105,[여름용] 2WAY 나일론 메탈 후드 베스트_크림,아우터,베스트,https://www.musinsa.com/app/goods/3037470?loc=goods_rank,//image.msscdn.net/images/goods_img/20230125/3037470/3037470_16766148961359_500.jpg,레귤러,"봄,여름,가을,겨울",약간 얇음
106,나일론 크롭 후디 윈드브레이커 재킷 (그레이),아우터,후드 집업,https://www.musinsa.com/app/goods/3247943?loc=goods_rank,//image.msscdn.net/images/goods_img/20230419/3247943/3247943_16819491595749_500.jpg,레귤러,"봄,여름,가을",약간 얇음
107,트레져 아일랜드 스탠넥 우븐 반팔티셔츠 BLACK,아우터,아노락 재킷,https://www.musinsa.com/app/goods/3168267?loc=goods_rank,//image.msscdn.net/images/goods_img/20230322/3168267/3168267_16818673094572_500.jpg,오버 사이즈,여름,얇음
108,[여름][세트상품] 커스터마이징 핏 셋업 수트 (블랙),아우터,슈트/블레이저 재킷,https://www.musinsa.com/app/goods/3254287?loc=goods_rank,//image.msscdn.net/images/goods_img/20230424/3254287/3254287_16849951830690_500.jpg,"레귤러,루즈","봄,여름,가을",약간 얇음
109,오버사이즈 코튼 밴딩 집업 자켓 점퍼 블루종,아우터,블루종/MA-1,https://www.musinsa.com/app/goods/3010708?loc=goods_rank,//image.msscdn.net/images/goods_img/20230109/3010708/3010708_16732326086707_500.jpg,루즈,"봄,가을",보통
110,오리지널 90S 바시티 자켓_블랙,아우터,스타디움 재킷,https://www.musinsa.com/app/goods/3043090?loc=goods_rank,//image.msscdn.net/images/goods_img/20230127/3043090/3043090_16758466597375_500.jpg,"루즈,오버 사이즈",봄,보통
111,투 플리츠 린넨 메쉬 자켓 - 라이트 블루,아우터,기타 아우터,https://www.musinsa.com/app/goods/3257279?loc=goods_rank,//image.msscdn.net/images/goods_img/20230424/3257279/3257279_16831798418717_500.jpg,레귤러,"봄,여름,가을",약간 얇음
112,Light hood Jumper (Light Gray),아우터,나일론/코치 재킷,https://www.musinsa.com/app/goods/3315785?loc=goods_rank,//image.msscdn.net/images/goods_img/20230522/3315785/3315785_16847436653474_500.jpg,레귤러,"봄,여름,가을",얇음
113,우먼즈 크링클 칼라리스 반팔 재킷 [블랙],아우터,슈트/블레이저 재킷,https://www.musinsa.com/app/goods/3092781?loc=goods_rank,//image.msscdn.net/images/goods_img/20230220/3092781/3092781_16817253355555_500.jpg,루즈,여름,얇음
114,볼레로 윈드쉘(핑크),아우터,나일론/코치 재킷,https://www.musinsa.com/app/goods/3238091?loc=goods_rank,//image.msscdn.net/images/goods_img/20230417/3238091/3238091_16817119338018_500.jpg,오버 사이즈,"봄,가을,겨울",보통
115,스카시 리본 가디건_오트밀,아우터,카디건,https://www.musinsa.com/app/goods/3039767?loc=goods_rank,//image.msscdn.net/images/goods_img/20230126/3039767/3039767_16753105083733_500.jpg,레귤러,"봄,여름,가을",보통
116,우먼스 애슬레저 컬러블록 후드 자켓 (QO122OJK26),아우터,아노락 재킷,https://www.musinsa.com/app/goods/3145155?loc=goods_rank,//image.msscdn.net/images/goods_img/20230314/3145155/3145155_16806672929777_500.jpg,루즈,"봄,여름,가을",약간 얇음
117,[여름][세트상품] 커스터마이징 핏 셋업 수트 (차콜),아우터,슈트/블레이저 재킷,https://www.musinsa.com/app/goods/3254288?loc=goods_rank,//image.msscdn.net/images/goods_img/20230424/3254288/3254288_16849952140360_500.jpg,"레귤러,루즈","봄,여름,가을",약간 얇음
118,B.H KNIT ZIPUP (BLACK),아우터,카디건,https://www.musinsa.com/app/goods/3155391?loc=goods_rank,//image.msscdn.net/images/goods_img/20230316/3155391/3155391_16790398452491_500.jpg,루즈,"봄,여름,가을",보통
119,[여름용] 2WAY 나일론 메탈 후드 윈드브레이커 자켓_스틸 블루,아우터,아노락 재킷,https://www.musinsa.com/app/goods/3037471?loc=goods_rank,//image.msscdn.net/images/goods_img/20230125/3037471/3037471_16766153469224_500.jpg,레귤러,"봄,가을,겨울",보통
120,ARGYLE & STITCH KNIT ZIPUP VEST - IV,아우터,베스트,https://www.musinsa.com/app/goods/3141910?loc=goods_rank,//image.msscdn.net/images/goods_img/20230313/3141910/3141910_16786587279926_500.jpg,루즈,"봄,여름",약간 얇음
121,크로셰 투웨이 후드 집업 [아이보리],아우터,후드 집업,https://www.musinsa.com/app/goods/3317014?loc=goods_rank,//image.msscdn.net/images/goods_img/20230523/3317014/3317014_16848159429080_500.jpg,오버 사이즈,"봄,여름,가을",보통
122,크로셰 투웨이 후드 집업 [블랙],아우터,후드 집업,https://www.musinsa.com/app/goods/3128682?loc=goods_rank,//image.msscdn.net/images/goods_img/20230307/3128682/3128682_16806625481409_500.jpg,오버 사이즈,"봄,여름,가을",보통
123,Hurt Logo Poncho Zip Hoodie (GRAY),아우터,후드 집업,https://www.musinsa.com/app/goods/3161383?loc=goods_rank,//image.msscdn.net/images/goods_img/20230320/3161383/3161383_16792861147156_500.jpg,오버 사이즈,"봄,가을,겨울",약간 얇음
124,[니티드X레디] 썸머 스트라이프 반팔 니트 셔츠 BROWN,아우터,카디건,https://www.musinsa.com/app/goods/3259594?loc=goods_rank,//image.msscdn.net/images/goods_img/20230425/3259594/3259594_16837863214444_500.jpg,오버 사이즈,"봄,여름",얇음
125,투 플리츠 린넨 메쉬 자켓 - 아이보리,아우터,기타 아우터,https://www.musinsa.com/app/goods/3257278?loc=goods_rank,//image.msscdn.net/images/goods_img/20230424/3257278/3257278_16831797160171_500.jpg,레귤러,"봄,여름,가을",약간 얇음
126,커브드 미니멀 바람막이_블랙,아우터,나일론/코치 재킷,https://www.musinsa.com/app/goods/3046683?loc=goods_rank,//image.msscdn.net/images/goods_img/20230130/3046683/3046683_16759271675884_500.jpg,"루즈,오버 사이즈","봄,여름,가을,겨울","약간 얇음,보통"
127,[여름][세트상품] 커스터마이징 핏 셋업 수트 (베이지),아우터,슈트/블레이저 재킷,https://www.musinsa.com/app/goods/3254286?loc=goods_rank,//image.msscdn.net/images/goods_img/20230424/3254286/3254286_16849950436475_500.jpg,"레귤러,루즈","봄,여름,가을",약간 얇음
128,커브드 오버핏 후드집업_그레이,아우터,후드 집업,https://www.musinsa.com/app/goods/3046690?loc=goods_rank,//image.msscdn.net/images/goods_img/20230130/3046690/3046690_16759242185174_500.jpg,"루즈,오버 사이즈","봄,가을,겨울",보통
129,Tribal Logo Nylon Racing Jacket - White,아우터,나일론/코치 재킷,https://www.musinsa.com/app/goods/3209863?loc=goods_rank,//image.msscdn.net/images/goods_img/20230405/3209863/3209863_16810699304498_500.jpg,루즈,"봄,여름,가을,겨울",보통
130,Tribal Logo Nylon Racing Jacket - Navy,아우터,나일론/코치 재킷,https://www.musinsa.com/app/goods/3209862?loc=goods_rank,//image.msscdn.net/images/goods_img/20230405/3209862/3209862_16810699900063_500.jpg,루즈,"봄,여름,가을,겨울",보통
131,우먼즈 린넨 블렌드 크로셰 가디건 [아이보리],아우터,카디건,https://www.musinsa.com/app/goods/3101633?loc=goods_rank,//image.msscdn.net/images/goods_img/20230222/3101633/3101633_16819806786558_500.jpg,레귤러,여름,보통
132,[SET]에어스트레치 아노락 자켓 쇼츠 셋업_라벤더 바람막이,스포츠/용품,아우터,https://www.musinsa.com/app/goods/3175885?loc=goods_rank,//image.msscdn.net/images/goods_img/20230323/3175885/3175885_16795634423945_500.jpg,루즈,"봄,여름,가을",얇음
133,나일론 후디 베스트 -블랙-,아우터,베스트,https://www.musinsa.com/app/goods/3163672?loc=goods_rank,//image.msscdn.net/images/goods_img/20230320/3163672/3163672_16793126205268_500.jpg,레귤러,"봄,여름",얇음
134,LONELY-LOVELY ZIP-UP HOODIE WHITE,아우터,후드 집업,https://www.musinsa.com/app/goods/3098910?loc=goods_rank,//image.msscdn.net/images/goods_img/20230221/3098910/3098910_16782038138313_500.jpg,오버 사이즈,"봄,여름,가을",약간 얇음
135,쿨 터치 에센셜 가디건 [라이트 그레이],아우터,카디건,https://www.musinsa.com/app/goods/3171888?loc=goods_rank,//image.msscdn.net/images/goods_img/20230323/3171888/3171888_16811795971624_500.jpg,레귤러,"봄,여름,가을",약간 얇음
136,리프 엠브로이더리 집업 자켓 awa533m(KHAKI),아우터,기타 아우터,https://www.musinsa.com/app/goods/3140182?loc=goods_rank,//image.msscdn.net/images/goods_img/20230310/3140182/3140182_16786814655908_500.jpg,레귤러,"봄,여름,가을",보통
137,[ATW] 오리지널 하프집업 아노락_BK,아우터,아노락 재킷,https://www.musinsa.com/app/goods/3284916?loc=goods_rank,//image.msscdn.net/images/goods_img/20230509/3284916/3284916_16836156373782_500.jpg,루즈,"봄,여름,가을,겨울",얇음
138,두들 워시드 데님 집 자켓_블루(NG2DSUD120A),아우터,트러커 재킷,https://www.musinsa.com/app/goods/3055483?loc=goods_rank,//image.msscdn.net/images/goods_img/20230202/3055483/3055483_16760155600204_500.jpg,오버 사이즈,봄,보통
139,스몰 로고 윈드브레이커 셋업_라이트그레이,아우터,나일론/코치 재킷,https://www.musinsa.com/app/goods/3194434?loc=goods_rank,//image.msscdn.net/images/goods_img/20230330/3194434/3194434_16813508939800_500.jpg,레귤러,"봄,여름,가을,겨울",보통
140,커브 라인 5 디비전 베스트 (TO0018),아우터,베스트,https://www.musinsa.com/app/goods/3105206?loc=goods_rank,//image.msscdn.net/images/goods_img/20230223/3105206/3105206_16782682615574_500.jpg,루즈,여름,약간 얇음
141,[5296] 크롭 스트링 윈드 브레이커 자켓 (화이트),아우터,나일론/코치 재킷,https://www.musinsa.com/app/goods/3162734?loc=goods_rank,//image.msscdn.net/images/goods_img/20230320/3162734/3162734_16793018712429_500.jpg,루즈,"봄,가을",보통
142,커브드 미니멀 바람막이_그레이,아우터,나일론/코치 재킷,https://www.musinsa.com/app/goods/3046674?loc=goods_rank,//image.msscdn.net/images/goods_img/20230130/3046674/3046674_16759271749789_500.jpg,"루즈,오버 사이즈","봄,여름,가을,겨울","약간 얇음,보통"
143,S23MURAN65 루트 후디 반팔 아노락 Black,스포츠/용품,아우터,https://www.musinsa.com/app/goods/3080117?loc=goods_rank,//image.msscdn.net/images/goods_img/20230213/3080117/3080117_16762810618026_500.jpg,루즈,"봄,여름",약간 얇음
144,Useful Running Vest Gray-Black,아우터,베스트,https://www.musinsa.com/app/goods/3062928?loc=goods_rank,//image.msscdn.net/images/goods_img/20230206/3062928/3062928_16764563913235_500.jpg,"슬림,레귤러","봄,여름,가을,겨울",보통
145,투톤 로우컷 밴딩 숏 자켓 - 블랙(크랙 레더),아우터,레더/라이더스 재킷,https://www.musinsa.com/app/goods/3048215?loc=goods_rank,//image.msscdn.net/images/goods_img/20230130/3048215/3048215_16754140358865_500.jpg,레귤러,"봄,가을,겨울",보통
